-4.646447,0.688410,0.725322,1784474217.885
-4.234875,0.575910,0.817513,1784474217.918
-4.083754,0.459302,0.888280,1784474217.951
-4.165646,0.335055,0.942199,1784474217.984
-4.475245,0.194007,0.981000,1784474218.018
-4.988457,0.039405,0.999223,1784474218.051
-5.714359,-0.136524,0.990637,1784474218.084
-6.689121,-0.340687,0.940177,1784474218.118
-7.845997,-0.554301,0.832316,1784474218.151
-9.164624,-0.763377,0.645953,1784474218.184
-10.574278,-0.933802,0.357789,1784474218.218
-11.787760,-0.999990,-0.004455,1784474218.251
-12.578740,-0.917742,-0.397178,1784474218.284
-12.693157,-0.667174,-0.744902,1784474218.318
-12.032479,-0.315283,-0.948998,1784474218.351
-10.748543,0.055814,-0.998441,1784474218.384
-9.085970,0.382659,-0.923890,1784474218.418
-7.460721,0.616700,-0.787198,1784474218.451
-6.045792,0.774497,-0.632578,1784474218.484
-4.917752,0.877548,-0.479489,1784474218.518
-4.161605,0.938846,-0.344338,1784474218.551
-3.712059,0.975320,-0.220796,1784474218.584
-3.527238,0.994965,-0.100227,1784474218.618
-3.582434,0.999866,0.016343,1784474218.651
-3.847403,0.990423,0.138065,1784474218.684
-4.333982,0.961821,0.273678,1784474218.718
-5.021493,0.908414,0.418072,1784474218.751
-5.936218,0.818537,0.574454,1784474218.784
-7.127373,0.671993,0.740558,1784474218.818
-8.509108,0.460670,0.887571,1784474218.851
-10.037613,0.171339,0.985212,1784474218.884
-11.582149,-0.195321,0.980739,1784474218.918
-12.758063,-0.564757,0.825258,1784474218.951
-13.279843,-0.865164,0.501489,1784474218.985
-12.890840,-0.995846,0.091056,1784474219.018
-11.666474,-0.950680,-0.310172,1784474219.051
-9.853846,-0.776759,-0.629798,1784474219.085
-7.961243,-0.561868,-0.827227,1784474219.118
-6.247885,-0.355860,-0.934539,1784474219.151
-4.837954,-0.176284,-0.984339,1784474219.185
-3.852813,-0.035314,-0.999376,1784474219.218
-3.214440,0.080002,-0.996795,1784474219.251
-2.862136,0.181410,-0.983408,1784474219.285
-2.764077,0.271165,-0.962533,1784474219.318
-2.869716,0.358898,-0.933377,1784474219.351
-3.173409,0.452370,-0.891831,1784474219.385
-3.658501,0.549577,-0.835443,1784474219.418
-4.348357,0.654649,-0.755933,1784474219.451
-5.303213,0.769158,-0.639059,1784474219.485
-6.497561,0.878195,-0.478303,1784474219.518
-7.967511,0.966377,-0.257129,1784474219.551
-9.724628,0.999158,0.041039,1784474219.585
-11.509258,0.923980,0.382440,1784474219.618
-13.060935,0.696837,0.717229,1784474219.651
-13.962564,0.303594,0.952802,1784474219.685
-13.788918,-0.151875,0.988400,1784474219.718
-12.534893,-0.555405,0.831580,1784474219.751
-10.467056,-0.830678,0.556753,1784474219.785
-8.223399,-0.960157,0.279461,1784474219.818
-6.162991,-0.998859,0.047766,1784474219.851
-4.455293,-0.991492,-0.130169,1784474219.885
-3.246590,-0.967451,-0.253058,1784474219.918
-2.432469,-0.940004,-0.341165,1784474219.951
-1.923858,-0.912627,-0.408793,1784474219.985
-1.674130,-0.887086,-0.461605,1784474220.018
-1.607271,-0.861048,-0.508524,1784474220.051
-1.692281,-0.831387,-0.555693,1784474220.085
-1.908598,-0.797074,-0.603881,1784474220.118
-2.259613,-0.753830,-0.657069,1784474220.151
-2.782566,-0.694987,-0.719023,1784474220.185
-3.482197,-0.617267,-0.786754,1784474220.218
-4.419935,-0.509962,-0.860197,1784474220.251
-5.695596,-0.355563,-0.934652,1784474220.285
-7.286120,-0.148966,-0.988842,1784474220.318
-9.230740,0.122763,-0.992436,1784474220.351
-11.487416,0.458257,-0.888820,1784474220.385
-13.588721,0.778189,-0.628030,1784474220.418
-15.023129,0.979375,-0.202050,1784474220.451
-15.155966,0.951046,0.309051,1784474220.485
-13.757406,0.700696,0.713460,1784474220.518
-11.261799,0.354853,0.934922,1784474220.551
-8.312718,0.031443,0.999506,1784474220.585
-5.695527,-0.195885,0.980627,1784474220.618
-3.605597,-0.341016,0.940058,1784474220.651
-2.038287,-0.427364,0.904079,1784474220.685
-0.992807,-0.470583,0.882356,1784474220.718
-0.289349,-0.488165,0.872752,1784474220.751
0.200455,-0.488816,0.872387,1784474220.785
0.542910,-0.477707,0.878519,1784474220.818
0.824677,-0.457560,0.889179,1784474220.851
1.106542,-0.428038,0.903761,1784474220.885
1.414856,-0.390073,0.920784,1784474220.918
1.796040,-0.340825,0.940127,1784474220.951
2.307734,-0.274609,0.961556,1784474220.985
2.968515,-0.190149,0.981755,1784474221.018
3.849451,-0.078989,0.996875,1784474221.051
5.059632,0.071946,0.997408,1784474221.085
6.599883,0.261026,0.965332,1784474221.118
8.544012,0.491507,0.870873,1784474221.151
10.914193,0.747960,0.663744,1784474221.185
13.302094,0.947762,0.318979,1784474221.218
15.201373,0.988923,-0.148428,1784474221.251
15.852397,0.776318,-0.630342,1784474221.285
14.753650,0.370605,-0.928791,1784474221.318
12.231995,-0.067206,-0.997739,1784474221.351
9.001683,-0.414246,-0.910165,1784474221.385
6.028606,-0.622895,-0.782305,1784474221.418
3.612173,-0.736954,-0.675943,1784474221.451
1.779451,-0.794083,-0.607809,1784474221.485
0.540733,-0.815677,-0.578508,1784474221.518
-0.313245,-0.817104,-0.576490,1784474221.551
-0.937754,-0.804150,-0.594426,1784474221.585
-1.412509,-0.780214,-0.625513,1784474221.618
-1.846416,-0.745315,-0.666712,1784474221.651
-2.323234,-0.696180,-0.717867,1784474221.685
-2.874426,-0.632163,-0.774835,1784474221.718
-3.567855,-0.546487,-0.837468,1784474221.751
-4.489782,-0.427210,-0.904152,1784474221.785
-5.643234,-0.270976,-0.962586,1784474221.818
-7.097561,-0.064279,-0.997932,1784474221.851
-8.917307,0.206482,-0.978451,1784474221.885
-10.904137,0.510431,-0.859919,1784474221.918
-12.845700,0.801140,-0.598477,1784474221.951
-14.308457,0.984401,-0.175937,1784474221.985
-14.664188,0.953892,0.300149,1784474222.018
-13.704036,0.713727,0.700424,1784474222.051
-11.590996,0.355468,0.934688,1784474222.085
-9.049644,0.023671,0.999720,1784474222.118
-6.595478,-0.230334,0.973112,1784474222.151
-4.500680,-0.406407,0.913692,1784474222.185
-2.981912,-0.514007,0.857786,1784474222.218
-1.923230,-0.580316,0.814392,1784474222.251
-1.209950,-0.621847,0.783139,1784474222.285
-0.780964,-0.646622,0.762810,1784474222.318
-0.528125,-0.662560,0.749009,1784474222.351
-0.388885,-0.673898,0.738824,1784474222.385
-0.330966,-0.682481,0.730903,1784474222.418
-0.325063,-0.690263,0.723559,1784474222.451
-0.360407,-0.698582,0.715530,1784474222.485
-0.430896,-0.707820,0.706393,1784474222.518
-0.539681,-0.719000,0.695010,1784474222.551
-0.700869,-0.733442,0.679752,1784474222.585
-0.920195,-0.751302,0.659959,1784474222.618
-1.224163,-0.774101,0.633062,1784474222.651
-1.660241,-0.804084,0.594516,1784474222.685
-2.249794,-0.840614,0.541635,1784474222.718
-3.066897,-0.884686,0.466188,1784474222.751
-4.235012,-0.935423,0.353532,1784474222.785
-5.789106,-0.980765,0.195194,1784474222.818
-7.855625,-0.999602,-0.028205,1784474222.851
-10.460593,-0.945927,-0.324378,1784474222.884
-13.497903,-0.739263,-0.673416,1784474222.918
-16.138277,-0.332985,-0.942932,1784474222.951
-17.397152,0.218075,-0.975932,1784474222.984
-16.344090,0.717399,-0.696662,1784474223.018
-13.263299,0.961181,-0.275919,1784474223.051
-9.304566,0.995816,0.091384,1784474223.084
-5.460131,0.943156,0.332350,1784474223.118
-2.490230,0.893290,0.449481,1784474223.151
-0.326582,0.872975,0.487765,1784474223.184
1.226210,0.881472,0.472237,1784474223.218
2.287760,0.907968,0.419039,1784474223.251
3.096541,0.941862,0.335999,1784474223.284
3.817730,0.974878,0.222737,1784474223.318
4.518314,0.996231,0.086740,1784474223.351
5.297111,0.997174,-0.075125,1784474223.384
6.236203,0.963428,-0.267969,1784474223.418
7.306833,0.880044,-0.474892,1784474223.451
8.523335,0.727377,-0.686238,1784474223.484
9.858296,0.480654,-0.876910,1784474223.518
11.086545,0.154124,-0.988052,1784474223.551
12.029131,-0.226286,-0.974061,1784474223.584
12.450257,-0.602409,-0.798187,1784474223.618
12.169180,-0.869667,-0.493638,1784474223.651
11.237537,-0.991697,-0.128594,1784474223.684
9.818320,-0.973853,0.227180,1784474223.718
8.288387,-0.864219,0.503116,1784474223.751
6.857797,-0.713815,0.700334,1784474223.784
5.646017,-0.551245,0.834343,1784474223.818
4.783487,-0.401421,0.915894,1784474223.851
4.227883,-0.262361,0.964970,1784474223.884
3.946099,-0.127090,0.991891,1784474223.918
3.921449,0.001734,0.999998,1784474223.951
4.117654,0.133493,0.991050,1784474223.984
4.539047,0.276972,0.960878,1784474224.018
5.161766,0.426327,0.904569,1784474224.051
6.002915,0.584655,0.811282,1784474224.084
7.102373,0.749386,0.662134,1784474224.118
8.376839,0.892419,0.451207,1784474224.151
9.786182,0.985932,0.167146,1784474224.184
11.218679,0.981958,-0.189101,1784474224.218
12.337007,0.836121,-0.548545,1784474224.251
12.892130,0.541060,-0.840984,1784474224.284
12.653673,0.134665,-0.990891,1784474224.318
11.641903,-0.264005,-0.964521,1784474224.351
10.100314,-0.586025,-0.810293,1784474224.384
8.318635,-0.806629,-0.591058,1784474224.418
6.702931,-0.926446,-0.376428,1784474224.451
5.373685,-0.982333,-0.187144,1784474224.484
4.366119,-0.999706,-0.024228,1784474224.518
3.727881,-0.994159,0.107922,1784474224.551
3.383001,-0.974895,0.222665,1784474224.584
3.288663,-0.943676,0.330870,1784474224.618
3.417493,-0.901585,0.432601,1784474224.651
3.747441,-0.844472,0.535599,1784474224.684
4.298382,-0.763778,0.645479,1784474224.718
5.051973,-0.655699,0.755022,1784474224.751
6.041275,-0.507472,0.861668,1784474224.784
7.320351,-0.300489,0.953785,1784474224.818
8.793959,-0.039122,0.999234,1784474224.851
10.405117,0.274717,0.961525,1784474224.884
11.992545,0.613508,0.789688,1784474224.918
13.128573,0.880627,0.473810,1784474224.951
13.505071,0.998675,0.051454,1784474224.984
12.891345,0.921121,-0.389276,1784474225.018
11.439616,0.694937,-0.719071,1784474225.051
9.516799,0.410335,-0.911935,1784474225.084
7.482275,0.134828,-0.990869,1784474225.118
5.756974,-0.081319,-0.996688,1784474225.151
4.410679,-0.244883,-0.969553,1784474225.184
3.433334,-0.370115,-0.928986,1784474225.218
2.834756,-0.463018,-0.886349,1784474225.251
2.518037,-0.538679,-0.842511,1784474225.284
2.429112,-0.607023,-0.794684,1784474225.318
2.535652,-0.669691,-0.742640,1784474225.351
2.815328,-0.732341,-0.680938,1784474225.384
