angular_velocity,sin,cos,epoch
1.213666233342281853e+00,-5.204349932680561730e-02,-4.366147352276019133e-01,1.784447902722999811e+09
1.218314367822018962e+00,-4.376701901759237623e-02,-4.226099574704224593e-01,1.784447902755999804e+09
1.222095690668540069e+00,-3.597198626973839575e-02,-4.089586448182289113e-01,1.784447902788999796e+09
1.225050693838512839e+00,-2.863688912569857525e-02,-3.956564615192747492e-01,1.784447902821999788e+09
1.227218487566916760e+00,-2.174101844812399709e-02,-3.826988667799732791e-01,1.784447902854999781e+09
1.228636835670387395e+00,-1.526444298746783279e-02,-3.700811351232535240e-01,1.784447902887999773e+09
1.229342190411786273e+00,-9.187985032709081179e-03,-3.577983756309845442e-01,1.784447902920999765e+09
1.229369726904566473e+00,-3.493196640315845980e-03,-3.458455501186440961e-01,1.784447902953999758e+09
1.228753377040051387e+00,1.837663563976674186e-03,-3.342174902887288801e-01,1.784447902986999750e+09
1.227525862920062050e+00,6.821653016371539979e-03,-3.229089139076423698e-01,1.784447903019999743e+09
1.225718729780909566e+00,1.147516728550838916e-02,-3.119144400492034896e-01,1.784447903052999735e+09
1.223362378396247063e+00,1.581396158881302749e-02,-3.012286034462969275e-01,1.784447903085999727e+09
1.220486096946559851e+00,1.985317176171490228e-02,-2.908458679906377742e-01,1.784447903118999720e+09
1.217118092346596736e+00,2.360733468696578352e-02,-2.807606394191683452e-01,1.784447903151999712e+09
1.213285521022272828e+00,2.709040819161272207e-02,-2.709672772240906968e-01,1.784447903184999704e+09
1.209014519129426812e+00,3.031579041940217489e-02,-2.614601058221978636e-01,1.784447903217999697e+09
1.204330232209771534e+00,3.329633868664087781e-02,-2.522334250177628578e-01,1.784447903250999689e+09
1.199256844279149359e+00,3.604438782968473476e-02,-2.432815197919399597e-01,1.784447903283999681e+09
1.193817606344226956e+00,3.857176805242575057e-02,-2.345986694503665038e-01,1.784447903316999674e+09
1.188034864346492858e+00,4.088982228228972560e-02,-2.261791561594223565e-01,1.784447903349999666e+09
1.181930086531339574e+00,4.300942304336304034e-02,-2.180172729003872489e-01,1.784447903382999659e+09
1.175523890241778835e+00,4.494098885537085863e-02,-2.101073308696176922e-01,1.784447903415999651e+09
1.168836068137808715e+00,4.669450016734573439e-02,-2.024436663517147905e-01,1.784447903448999643e+09
1.161885613842515985e+00,4.827951483483290673e-02,-1.950206470916002188e-01,1.784447903481999636e+09
1.154690747016219765e+00,4.970518314955670036e-02,-1.878326781903724707e-01,1.784447903514999628e+09
1.147268937862351512e+00,5.098026243052218576e-02,-1.808742075487978496e-01,1.784447903547999620e+09
