epoch,velocity,sin,cos
1784623433.9210000038,10.8658103488,-0.0218809238,0.9999332329
1784623433.9539999962,12.7670765728,0.3663664670,0.9324309709
1784623433.9869999886,14.1493383769,0.7376254984,0.6812523231
1784623434.0199999809,14.4992506568,0.9696458637,0.2656812526
1784623434.0529999733,13.5618010271,0.9848757508,-0.1996288403
1784623434.0859999657,11.5681100319,0.8180594796,-0.5810228914
1784623434.1189999580,9.0870910894,0.5742697896,-0.8201163351
1784623434.1519999504,6.6787077498,0.3430119153,-0.9385329975
1784623434.1849999428,4.6694876724,0.1624972222,-0.9847822248
1784623434.2179999352,3.1580025469,0.0349185530,-0.9969515466
1784623434.2509999275,2.1050529158,-0.0510884676,-0.9959671161
1784623434.2839999199,1.4165583320,-0.1083592326,-0.9911820751
1784623434.3169999123,0.9940762154,-0.1472920166,-0.9860498800
1784623434.3499999046,0.7566797020,-0.1754113139,-0.9814252517
1784623434.3829998970,0.6460877577,-0.1979106710,-0.9771778076
1784623434.4159998894,0.6246869938,-0.2183392360,-0.9728800610
1784623434.4489998817,0.6716348612,-0.2392208231,-0.9680234358
1784623434.4819998741,0.7792788515,-0.2625570452,-0.9620187709
1784623434.5149998665,0.9507201958,-0.2902158872,-0.9540953790
1784623434.5479998589,1.1987684018,-0.3242282936,-0.9431287734
1784623434.5809998512,1.5462985646,-0.3670117124,-0.9273603874
1784623434.6139998436,2.0278787992,-0.4215064265,-0.9039343376
1784623434.6469998360,2.6924087441,-0.4911272166,-0.8681178203
1784623434.6799998283,3.6058651358,-0.5792433776,-0.8120364000
1784623434.7129998207,4.8516025722,-0.6874895733,-0.7228193808
1784623434.7459998131,6.5215345858,-0.8114410409,-0.5806082748
1784623434.7789998055,8.6834247668,-0.9313843413,-0.3588889417
1784623434.8119997978,11.2969015667,-0.9977110128,-0.0345351039
1784623434.8449997902,14.0481948942,-0.9230943309,0.3792071800
1784623434.8779997826,16.1946382449,-0.6214019879,0.7808867008
1784623434.9109997749,16.7649282022,-0.1165841077,0.9919880545
1784623434.9439997673,15.2179090328,0.4094706101,0.9128177286
1784623434.9769997597,12.0404652797,0.7704188651,0.6413481013
1784623435.0099997520,8.3554567521,0.9403309666,0.3517561777
1784623435.0429997444,5.0210724096,0.9951816703,0.1403184579
1784623435.0759997368,2.4049848179,1.0047382757,0.0212619325
1784623435.1089997292,0.5221456113,1.0046152061,-0.0242011667
1784623435.1419997215,-0.7876700001,1.0050301965,-0.0176254010
1784623435.1749997139,-1.7173540251,1.0051988788,0.0254933495
1784623435.2079997063,-2.4327747924,1.0011661313,0.0954136854
1784623435.2409996986,-3.0638040667,0.9882215214,0.1865835834
1784623435.2739996910,-3.7102399907,0.9608311392,0.2962455387
