epoch,velocity,sin,cos
1784623568.8709995747,2.6488541852,0.2062704561,-0.9768563093
1784623568.9039995670,3.3969762660,0.1070304946,-0.9922566800
1784623568.9369995594,4.4048664575,-0.0224789718,-0.9973892957
1784623568.9699995518,5.7428790516,-0.1900100362,-0.9790527933
1784623569.0029995441,7.4743242128,-0.3994430500,-0.9135373937
1784623569.0359995365,9.6088580418,-0.6404900696,-0.7639681254
1784623569.0689995289,12.0080806836,-0.8698987742,-0.4880207395
1784623569.1019995213,14.2639900954,-0.9955721185,-0.0711396920
1784623569.1349995136,15.6711808722,-0.9063669137,0.4178376059
1784623569.1679995060,15.5317410494,-0.5748154052,0.8165611431
1784623569.2009994984,13.7061268075,-0.1219594818,0.9912710344
1784623569.2339994907,10.7724514975,0.2827295292,0.9593786123
1784623569.2669994831,7.6262299401,0.5582477211,0.8319976844
1784623569.2999994755,4.8720185575,0.7166622732,0.7018997517
1784623569.3329994678,2.7378501354,0.7979881501,0.6087022361
1784623569.3659994602,1.2113175036,0.8350333738,0.5572578095
1784623569.3989994526,0.1610904609,0.8468245756,0.5395436106
1784623569.4319994450,-0.5655829348,0.8426717994,0.5460799000
1784623569.4649994373,-1.0997042906,0.8267469955,0.5695924229
1784623569.4979994297,-1.5438092869,0.8004532592,0.6054337550
1784623569.5309994221,-1.9774948698,0.7632547264,0.6510568935
1784623569.5639994144,-2.4653170381,0.7128134966,0.7052380506
1784623569.5969994068,-3.0644462468,0.6448133485,0.7671559002
1784623569.6299993992,-3.8308445792,0.5526031585,0.8351669907
1784623569.6629993916,-4.8223075346,0.4268680261,0.9048910561
1784623569.6959993839,-6.0952304374,0.2559963912,0.9660607620
1784623569.7289993763,-7.6886496592,0.0288589367,0.9978234744
1784623569.7619993687,-9.5845477587,-0.2566539267,0.9639111316
1784623569.7949993610,-11.6367114140,-0.5761951449,0.8142880279
1784623569.8279993534,-13.4971645759,-0.8593858241,0.5074808921
1784623569.8609993458,-14.6320284494,-0.9973322591,0.0609979292
1784623569.8939993382,-14.5340833403,-0.9094064885,-0.4146251004
1784623569.9269993305,-13.1024467031,-0.6281347917,-0.7769639046
1784623569.9599993229,-10.7573988183,-0.2778320380,-0.9601510193
1784623569.9929993153,-8.1425312979,0.0323237515,-0.9994082911
1784623570.0259993076,-5.7717758827,0.2594196610,-0.9665321114
1784623570.0589993000,-3.8879456636,0.4091780136,-0.9140842435
1784623570.0919992924,-2.5216050568,0.5030060580,-0.8666558529
1784623570.1249992847,-1.5955056116,0.5604604825,-0.8312579058
1784623570.1579992771,-1.0019136403,0.5954195620,-0.8070564581
1784623570.1909992695,-0.6416699307,0.6169814108,-0.7909640504
1784623570.2239992619,-0.4377430070,0.6309369317,-0.7799912201
1784623570.2569992542,-0.3362210883,0.6409074717,-0.7718598890
1784623570.2899992466,-0.3024985973,0.6491541923,-0.7649544907
1784623570.3229992390,-0.3165584296,0.6571433283,-0.7581153772
1784623570.3559992313,-0.3690395163,0.6659257861,-0.7504275151
1784623570.3889992237,-0.4585686568,0.6763868308,-0.7410386229
1784623570.4219992161,-0.5903647757,0.6894133324,-0.7289886642
1784623570.4549992085,-0.7759795216,0.7060098244,-0.7130319385
1784623570.4879992008,-1.0340947336,0.7273747363,-0.6914122764
1784623570.5209991932,-1.3923627999,0.7549195257,-0.6615427612
1784623570.5539991856,-1.8903193359,0.7901638953,-0.6195228506
1784623570.5869991779,-2.5832713633,0.8343361764,-0.5594036919
1784623570.6199991703,-3.5464032333,0.8872932803,-0.4721524215
1784623570.6529991627,-4.8763092787,0.9449599724,-0.3445074479
1784623570.6859991550,-6.6816044415,0.9938974215,-0.1588688461
1784623570.7189991474,-9.0421147561,1.0016754723,0.1019355276
1784623570.7519991398,-11.9000908128,0.9064874114,0.4362717690
1784623570.7849991322,-14.8599449476,0.6276000302,0.7834581819
1784623570.8179991245,-17.0188234765,0.1384188552,0.9914168946
1784623570.8509991169,-17.2465688527,-0.4264167946,0.9036424956
1784623570.8839991093,-15.1066876985,-0.8331839887,0.5522197422
1784623570.9169991016,-11.3945123767,-0.9909159985,0.1420800949
1784623570.9499990940,-7.3938632340,-0.9872944404,-0.1672779132
1784623570.9829990864,-3.9525806054,-0.9392591078,-0.3460308633
1784623571.0159990788,-1.3440024082,-0.9069991554,-0.4241389916
1784623571.0489990711,0.4971524974,-0.9023331527,-0.4346902236
1784623571.0819990635,1.7738897183,-0.9187694092,-0.3988785850
1784623571.1149990559,2.6991999699,-0.9462947710,-0.3283283147
1784623571.1479990482,3.4446214435,-0.9751910456,-0.2290497132
1784623571.1809990406,4.1376292510,-0.9964149385,-0.1037993419
1784623571.2139990330,4.8718067823,-1.0006819152,0.0465204412
1784623571.2469990253,5.7141362335,-0.9768372390,0.2211850823
1784623571.2799990177,6.7064143818,-0.9103256674,0.4168350900
1784623571.3129990101,7.8596374680,-0.7830623007,0.6231049697
1784623571.3459990025,9.1395650264,-0.5768627787,0.8170452411
1784623571.3789989948,10.4436949981,-0.2830813334,0.9590389446
1784623571.4119989872,11.5843202930,0.0818605657,0.9971457373
1784623571.4449989796,12.3160586271,0.4644332759,0.8877122670
1784623571.4779989719,12.4219349086,0.7832289178,0.6275628345
1784623571.5109989643,11.8205659875,0.9679026167,0.2700882682
1784623571.5439989567,10.6345224642,0.9999986170,-0.1004537668
1784623571.5769989491,9.1335322679,0.9139484545,-0.4157572419
1784623571.6099989414,7.6050760504,0.7646140671,-0.6483005588
1784623571.6429989338,6.2618744899,0.5966906761,-0.8036333684
1784623571.6759989262,5.2124018965,0.4341519402,-0.9005794675
1784623571.7089989185,4.4822934754,0.2845973873,-0.9574848216
1784623571.7419989109,4.0522930419,0.1467504765,-0.9873367982
1784623571.7749989033,3.8886198431,0.0157258381,-0.9975020135
1784623571.8079988956,3.9608815302,-0.1141736071,-0.9906616383
1784623571.8409988880,4.2503310300,-0.2480725445,-0.9655966373
1784623571.8739988804,4.7517486496,-0.3896017035,-0.9175146515
1784623571.9069988728,5.4706920713,-0.5397006937,-0.8380198832
1784623571.9399988651,6.4160265475,-0.6944888731,-0.7152105894
1784623571.9729988575,7.5860758394,-0.8417230947,-0.5349936322
1784623572.0059988499,8.9463021448,-0.9562982957,-0.2855447407
1784623572.0389988422,10.3968822674,-0.9979557161,0.0327135955
1784623572.0719988346,11.7381579967,-0.9185933783,0.3915877216
1784623572.1049988270,12.6810457125,-0.6868683969,0.7246832256
1784623572.1379988194,12.9419878050,-0.3223031029,0.9450737078
1784623572.1709988117,12.3745634317,0.0958398485,0.9948110478
1784623572.2039988041,11.0858627998,0.4695742413,0.8840923416
1784623572.2369987965,9.3948837296,0.7390012259,0.6776959908
1784623572.2699987888,7.6490491963,0.8994471870,0.4462938579
1784623572.3029987812,6.1042825025,0.9774371761,0.2336139917
1784623572.3359987736,4.8905162750,1.0038622599,0.0548157915
1784623572.3689987659,4.0336832915,1.0012849776,-0.0918573379
1784623572.4019987583,3.5035445987,0.9823347051,-0.2144719305
1784623572.4349987507,3.2530667090,0.9524133290,-0.3217944647
1784623572.4679987431,3.2403698844,0.9123971184,-0.4212956418
1784623572.5009987354,3.4382414776,0.8601927917,-0.5186484504
1784623572.5339987278,3.8368372484,0.7913318320,-0.6175319085
1784623572.5669987202,4.4426049967,0.6990016555,-0.7191632848
1784623572.5999987125,5.2741400553,0.5739479672,-0.8211196922
1784623572.6329987049,6.3535736472,0.4049523416,-0.9150181193
1784623572.6659986973,7.6897828426,0.1812832681,-0.9829000049
1784623572.6989986897,9.2487455690,-0.1005870100,-0.9935229893
1784623572.7319986820,10.9097140059,-0.4240715454,-0.9035052527
1784623572.7649986744,12.4207228734,-0.7370943182,-0.6732947326
1784623572.7979986668,13.4103089233,-0.9524842354,-0.3019971095
1784623572.8309986591,13.5246363610,-0.9889025389,0.1439479096
1784623572.8639986515,12.6340410605,-0.8341348430,0.5501636509
1784623572.8969986439,10.9546311589,-0.5587256780,0.8278809594
1784623572.9299986362,8.9165817571,-0.2591524005,0.9645524457
1784623572.9629986286,6.9330361201,0.0006707110,0.9994095996
1784623572.9959986210,5.2645373712,0.2008679150,0.9796610958
1784623573.0289986134,4.0058974802,0.3477437608,0.9381539253
1784623573.0619986057,3.1433408923,0.4557302179,0.8912304098
1784623573.0949985981,2.6168763583,0.5383993444,0.8444115368
1784623573.1279985905,2.3604829429,0.6060889044,0.7977409634
1784623573.1609985828,2.3210913277,0.6661150363,0.7488194819
1784623573.1939985752,2.4652658401,0.7234415765,0.6940686370
1784623573.2269985676,2.7802555299,0.7811422246,0.6289990197
1784623573.2599985600,3.2727960792,0.8404710746,0.5479879440
1784623573.2929985523,3.9668783625,0.9003587638,0.4438829998
1784623573.3259985447,4.8999407465,0.9560269471,0.3077757125
1784623573.3589985371,6.1146386906,0.9963534080,0.1296721098
1784623573.3919985294,7.6402104157,0.9999900858,-0.0983229684
1784623573.4249985218,9.4546818759,0.9320592013,-0.3735405798
1784623573.4579985142,11.4227395566,0.7480108177,-0.6671739431
1784623573.4909985065,13.2253582205,0.4169282745,-0.9087797752
1784623573.5239984989,14.3620514919,-0.0336899853,-0.9973366379
1784623573.5569984913,14.3586810509,-0.4936130202,-0.8663845730
1784623573.5899984837,13.0875114392,-0.8279495175,-0.5564885896
1784623573.6229984760,10.8968193511,-0.9798536696,-0.1896062467
1784623573.6559984684,8.3922073219,-0.9900456420,0.1286846299
1784623573.6889984608,6.0760639228,-0.9315171247,0.3592781174
1784623573.7219984531,4.2042826757,-0.8577764586,0.5107395735
1784623573.7549984455,2.8308033992,-0.7933938140,0.6060917244
1784623573.7879984379,1.8944647623,-0.7443713904,0.6656152450
1784623573.8209984303,1.2959046996,-0.7088429554,0.7034263635
1784623573.8539984226,0.9409237586,-0.6828273294,0.7286736057
1784623573.8869984150,0.7559142621,-0.6624855762,0.7471364530
1784623573.9199984074,0.6897731989,-0.6447128275,0.7624516123
1784623573.9529983997,0.7111317140,-0.6270726932,0.7769669796
1784623573.9859983921,0.8047051178,-0.6075206720,0.7923003083
1784623574.0189983845,0.9682752653,-0.5840787384,0.8096851020
1784623574.0519983768,1.2109116799,-0.5544953180,0.8301573552
1784623574.0849983692,1.5526004147,-0.5158710105,0.8546032492
